	cell9
967	37.067
968	36.533
969	37.45
970	38.2
971	37.4
972	37.683
973	37.067
974	36.283
975	37.317
976	37.4
977	38.483
978	37.167
979	37.283
980	37.767
981	37.817
982	38
983	38.367
984	37.567
985	37.517
986	37.517
987	37.6
988	38.233
989	38.367
990	38.883
991	37.533
992	38.033
993	37.25
994	38.117
995	38.433
996	36.95
997	37.717
998	37.7
999	38.217
1000	38.017
1001	37.833
1002	38.1
1003	36.667
1004	38.517
1005	35.767
1006	38.367
1007	36.95
1008	38.183
1009	37.383
1010	38.55
1011	37.367
1012	38.167
1013	38.75
1014	36.75
1015	38.167
1016	36.3
1017	38.017
1018	36.883
1019	37.517
1020	38.033
1021	37.7
1022	37.667
1023	36.933
1024	37.25
1025	36.15
1026	37.433
1027	36.45
1028	35.867
1029	37.517
1030	36.55
1031	37.45
1032	37.25
1033	38.017
1034	38.717
1035	37.067
1036	37.133
1037	37.05
1038	38.767
1039	39.433
1040	40.05
1041	39.633
1042	40.383
1043	40.517
1044	40.867
1045	39.433
1046	39.917
1047	39.6
1048	40
1049	40.45
1050	40.8
1051	39.483
1052	40.2
1053	38.75
1054	39.583
1055	38.833
1056	39.65
1057	39.217
1058	38.5
1059	38.6
1060	39.1
1061	39.7
1062	38.85
1063	38.45
1064	39.283
1065	39.917
1066	37.867
1067	37.333
1068	39.55
1069	38.567
1070	39.867
1071	37.983
1072	38.133
1073	39
1074	37.217
1075	37.183
1076	38.483
1077	38.433
1078	38.033
1079	38.367
1080	37.117
1081	37.017
1082	37.75
1083	37.65
1084	38.217
1085	37.85
1086	37.517
1087	37.95
1088	37.8
1089	37.767
1090	38.283
1091	38.167
1092	37.467
1093	37.867
1094	37.433
1095	39.05
1096	36.217
1097	36.65
1098	38.167
1099	37.533
1100	37.333
1101	37.367
1102	37.25
1103	37.733
1104	38.117
1105	36.95
1106	36.65
1107	36.65
1108	38.067
1109	37.567
1110	37.017
1111	36.183
1112	37.533
1113	35.8
1114	37.117
1115	37.583
1116	37.2
1117	37.3
1118	37.067
1119	38.733
1120	37.817
1121	37.133
1122	37.283
1123	36.95
1124	37.767
1125	38.917
1126	36.017
1127	37.317
1128	38.617
1129	37.017
1130	38.1
1131	37.15
1132	36.717
1133	37.333
1134	37.133
1135	36.767
1136	38.45
1137	37.117
1138	38.55
1139	36.967
1140	37.233
1141	37.433
1142	37.817
1143	37.367
1144	36.817
1145	37.35
1146	36.783
1147	36.233
1148	36.783
1149	36.117
1150	38.383
1151	36.75
1152	38.2
1153	37.7
1154	37.467
1155	37
1156	37.033
1157	36.8
1158	36.717
1159	36.683
1160	36.5
1161	37.617
1162	37.45
1163	37.55
1164	37.767
1165	37.5
1166	36.267
1167	36.983
1168	35.333
1169	37.133
1170	36.65
1171	37.55
1172	37.383
1173	36.483
1174	36.067
1175	36.667
1176	38.117
1177	37.4
1178	36.583
1179	37.783
1180	36.95
1181	37.05
1182	36.983
1183	36.883
1184	38.117
1185	37.85
1186	37.417
1187	37.95
1188	37.133
1189	37.617
