	 cell2
39,824	-0,005774
39,862	-0,00636
39,9	-0,005749
39,938	-0,006243
39,976	-0,006377
40,014	-0,006504
40,052	-0,008675
40,09	-0,012442
40,128	-0,012452
40,166	-0,010039
40,204	-0,016227
40,242	-0,016975
40,28	-0,01464
40,318	-0,013367
40,356	-0,014693
40,394	-0,010482
40,432	-0,012663
40,47	-0,010581
40,508	-0,009386
40,546	-0,005148
40,584	-0,003889
40,622	-0,005883
40,66	-0,009252
40,698	-0,005604
40,736	-0,005436
40,774	0,00242
40,812	0,000908
40,85	0,001766
40,888	0,00355
40,926	0,002512
40,964	0,002823
41,002	0,002872
41,04	0,003441
41,078	0,000943
41,116	-0,001044
41,154	-0,003742
41,192	-0,001807
41,23	0,000763
41,268	0,001935
41,306	-0,002489
41,344	-0,005486
41,382	-0,000743
41,42	-0,001367
41,458	-0,00215
41,496	-0,003408
41,534	-0,004123
41,572	-0,004933
41,61	-0,004639
41,648	-0,003426
41,686	-0,001994
41,724	-0,00379
41,762	-0,006478
41,8	-0,006636
41,838	-0,005788
41,876	-0,004839
41,914	-0,003714
41,952	-0,001302
41,99	-0,00169
42,028	-0,006224
42,066	-0,005784
42,104	-0,005286
42,142	-0,00835
42,18	-0,008428
42,218	-0,01069
42,256	-0,005892
42,294	0,002176
42,332	0,014738
42,37	0,030176
42,408	0,046906
42,446	0,066295
42,484	0,081636
42,522	0,095607
42,56	0,108393
42,598	0,114395
42,636	0,118049
42,674	0,118467
42,712	0,120526
42,75	0,122253
42,788	0,11988
42,826	0,119076
42,864	0,119873
42,902	0,119854
42,94	0,117721
42,978	0,11523
43,016	0,112486
43,054	0,109585
43,092	0,105856
43,13	0,103628
43,168	0,103485
43,206	0,101196
43,244	0,099561
43,282	0,099015
43,32	0,092013
43,358	0,089259
43,396	0,086295
43,434	0,081963
43,472	0,081121
43,51	0,077
43,548	0,073898
43,586	0,071586
43,624	0,071668
43,662	0,069906
43,7	0,067412
43,738	0,063761
43,776	0,062387
43,814	0,065137
43,852	0,060555
43,89	0,057216
43,928	0,054507
43,966	0,056848
44,004	0,061925
44,042	0,074544
44,08	0,087584
44,118	0,102916
44,156	0,114224
44,194	0,123048
44,232	0,127075
44,27	0,132254
44,308	0,13829
44,346	0,143244
44,384	0,142572
44,422	0,137841
44,46	0,130045
44,498	0,129267
44,536	0,129273
44,574	0,130228
44,612	0,127289
44,65	0,126204
44,688	0,123168
44,726	0,118368
44,764	0,11783
44,802	0,116142
44,84	0,112756
44,878	0,109208
44,916	0,107212
44,954	0,101755
44,992	0,097237
45,03	0,092571
45,068	0,090573
45,106	0,090183
45,144	0,085608
45,182	0,082974
45,22	0,080119
45,258	0,083502
45,296	0,077173
45,334	0,072431
45,372	0,068769
45,41	0,063318
45,448	0,05885
45,486	0,053846
45,524	0,049691
45,562	0,045679
45,6	0,040578
45,638	0,041177
45,676	0,038632
45,714	0,038745
45,752	0,040825
45,79	0,033457
45,828	0,030533
45,866	0,026796
45,904	0,023895
45,942	0,026197
45,98	0,018473
46,018	0,020557
46,056	0,015811
46,094	0,015017
46,132	0,013946
46,17	0,00956
46,208	0,00832
46,246	0,007666
46,284	0,000371
46,322	0,001329
46,36	0,003964
46,398	0,004234
46,436	0,006404
46,474	0,004033
46,512	0,004173
46,55	0,000749
46,588	-0,001282
46,626	-0,002741
46,664	-0,004159
46,702	-0,00347
46,74	-0,004542
46,778	-0,005094
46,816	-0,006988
46,854	-0,006076
46,892	-0,004279
46,93	-0,007887
46,968	-0,003867
47,006	-0,003546
47,044	-0,00488
47,082	-0,010449
47,12	-0,009057
47,158	-0,01092
47,196	-0,011887
47,234	-0,016532
47,272	-0,016356
47,31	-0,020841
47,348	-0,020522
47,386	-0,021133
47,424	-0,016571
47,462	-0,014497
47,5	-0,014189
47,538	-0,014563
47,576	-0,01209
47,614	-0,007355
47,652	-0,010037
47,69	-0,009039
